Id;Mots;Mots_sans_lastharaKa;Mots_sans_harakat;orientation;force;Score
1;أَبْخَلُ;أَبْخَل;أبخل;Negative;High;-3.0
2;أَبْدَعُ;أَبْدَع;أبدع;Positive;High;3.0
3;أَبْدَنُ;أَبْدَن;أبدن;Negative;Median;-2.0
4;أَبْرَدُ;أَبْرَد;أبرد;Neutre;Median;0.0
5;أَبْسَلُ;أَبْسَل;أبسل;Negative;Low;-1.0
6;أَبْطَأُ;أَبْطَأ;أبطأ;Negative;Median;-2.0
7;أَبْعَدُ;أَبْعَد;أبعد;Negative;High;-3.0
8;أَبْغَضُ;أَبْغَض;أبغض;Negative;High;-3.0
9;أَبْقَى;أَبْقَى;أبقى;Positive;Median;2.0
10;أَبْلَدُ;أَبْلَد;أبلد;Negative;Median;-2.0
11;أَبْلَغُ;أَبْلَغ;أبلغ;Positive;High;3.0
12;أَبْهَى;أَبْهَى;أبهى;Positive;High;3.0
13;أَثْبَتُ;أَثْبَت;أثبت;Positive;Median;2.0
14;أَثْخَنُ;أَثْخَن;أثخن;Negative;High;-3.0
15;أَثْقَلُ;أَثْقَل;أثقل;Neutre;Median;0.0
16;أَثْمَنُ;أَثْمَن;أثمن;Positive;Median;2.0
17;أَجْدَرُ;أَجْدَر;أجدر;Positive;Median;2.0
18;أَجْرَأُ;أَجْرَأ;أجرأ;Positive;High;3.0
19;أَجْلَدُ;أَجْلَد;أجلد;Negative;Median;-2.0
20;أَجَلُّ;أَجَلّ;أجل;Positive;High;3.0
21;أَجْمَعُ;أَجْمَع;أجمع;Neutre;Median;0.0
22;أَجْمَلُ;أَجْمَل;أجمل;Positive;High;3.0
23;أَجَنُّ;أَجَنّ;أجن;Negative;Median;-2.0
24;أَجْوَدُ;أَجْوَد;أجود;Positive;High;3.0
25;أَحَبُّ;أَحَبّ;أحب;Positive;High;3.0
26;أَحَرُّ;أَحَرّ;أحر;Negative;Median;-2.0
27;أَحْرَصُ;أَحْرَص;أحرص;Positive;High;3.0
28;أَحْزَمُ;أَحْزَم;أحزم;Positive;Median;2.0
29;أَحْسَنُ;أَحْسَن;أحسن;Positive;High;3.0
30;أَحْصَفُ;أَحْصَف;أحصف;Positive;Median;2.0
31;أَحْقَرُ;أَحْقَر;أحقر;Negative;High;-3.0
32;أَحْكَمُ;أَحْكَم;أحكم;Positive;Median;2.0
33;أَحْلَمُ;أَحْلَم;أحلم;Positive;High;3.0
34;أَحْلَى;أَحْلَى;أحلى;Positive;High;3.0
35;أَحْمَضُ;أَحْمَض;أحمض;Negative;High;-3.0
36;أَخْبَثُ;أَخْبَث;أخبث;Negative;Median;-2.0
37;أَخْصَبُ;أَخْصَب;أخصب;Positive;High;3.0
38;أَخْطَرُ;أَخْطَر;أخطر;Negative;High;-3.0
39;أَخَفُّ;أَخَفّ;أخف;Neutre;Median;0.0
40;أَخْفَى;أَخْفَى;أخفى;Negative;Low;-1.0
41;أَخْوَفُ;أَخْوَف;أخوف;Negative;High;-3.0
42;أَدْفَأُ;أَدْفَأ;أدفأ;Positive;High;3.0
43;أَدْنَى;أَدْنَى;أدنى;Negative;High;-3.0
44;أَذْكَى;أَذْكَى;أذكى;Positive;High;3.0
45;أَرْجَى;أَرْجَى;أرجى;Positive;High;3.0
46;أَرْحَبُ;أَرْحَب;أرحب;Positive;Median;2.0
47;أَرْدَأُ;أَرْدَأ;أردأ;Negative;Median;-2.0
48;أَرْشَقُ;أَرْشَق;أرشق;Positive;Low;1.0
49;أَرْصَنُ;أَرْصَن;أرصن;Positive;Median;2.0
50;أَرْفَعُ;أَرْفَع;أرفع;Positive;High;3.0
51;أَرْفَقُ;أَرْفَق;أرفق;Positive;High;3.0
52;أَرَقُّ;أَرَقّ;أرق;Neutre;Median;0.0
53;أَزْهَى;أَزْهَى;أزهى;Positive;Median;2.0
54;أَسْخَنُ;أَسْخَن;أسخن;Neutre;Median;0.0
55;أَسْخَى;أَسْخَى;أسخى;Positive;Median;2.0
56;أَسْرَعُ;أَسْرَع;أسرع;Positive;High;3.0
57;أَسْعَدُ;أَسْعَد;أسعد;Positive;Median;2.0
58;أَسْفَلُ;أَسْفَل;أسفل;Negative;High;-3.0
59;أَسْلَطُ;أَسْلَط;أسلط;Negative;Median;-2.0
60;أَسْمَنُ;أَسْمَن;أسمن;Negative;Median;-2.0
61;أَسْمَى;أَسْمَى;أسمى;Positive;High;3.0
62;أَسْنَى;أَسْنَى;أسنى;Neutre;Median;0.0
63;أَسْوَأُ;أَسْوَأ;أسوأ;Negative;High;-3.0
64;أَشْجَعُ;أَشْجَع;أشجع;Positive;High;3.0
65;أَشَدُّ;أَشَدّ;أشد;Positive;High;3.0
66;أَشْرَسُ;أَشْرَس;أشرس;Negative;Median;-2.0
67;أَشْرَفُ;أَشْرَف;أشرف;Positive;High;3.0
68;أَشْغَلُ;أَشْغَل;أشغل;Neutre;Median;0.0
69;أَشْنَعُ;أَشْنَع;أشنع;Negative;High;-3.0
70;أَشْهَرُ;أَشْهَر;أشهر;Positive;High;3.0
71;أَصْبَحُ;أَصْبَح;أصبح;Neutre;Median;0.0
72;أَصْبَرُ;أَصْبَر;أصبر;Positive;Median;2.0
73;أَصْدَقُ;أَصْدَق;أصدق;Positive;High;3.0
74;أَصْرَحُ;أَصْرَح;أصرح;Positive;Median;2.0
75;أَصْعَبُ;أَصْعَب;أصعب;Negative;High;-3.0
76;أَصْغَرُ;أَصْغَر;أصغر;Negative;Median;-2.0
77;أَضْأَلُ;أَضْأَل;أضأل;Negative;High;-3.0
78;أَضْعَفُ;أَضْعَف;أضعف;Negative;Median;-2.0
79;أَضَلُّ;أَضَلّ;أضل;Negative;Median;-2.0
80;أَطْوَلُ;أَطْوَل;أطول;Negative;Median;-2.0
81;أَظْرَفُ;أَظْرَف;أظرف;Positive;Low;1.0
82;أَظْلَمُ;أَظْلَم;أظلم;Negative;High;-3.0
83;أَظْهَرُ;أَظْهَر;أظهر;Positive;High;3.0
84;أَعْتَقُ;أَعْتَق;أعتق;Positive;Median;2.0
85;أَعْجَبُ;أَعْجَب;أعجب;Positive;Median;2.0
86;أَعْدَلُ;أَعْدَل;أعدل;Positive;High;3.0
87;أَعْرَضُ;أَعْرَض;أعرض;Positive;Median;2.0
88;أَعَزُّ;أَعَزّ;أعز;Positive;High;3.0
89;أَعْسَرُ;أَعْسَر;أعسر;Neutre;Median;0.0
90;أَعْظَمُ;أَعْظَم;أعظم;Positive;High;3.0
91;أَعْقَلُ;أَعْقَل;أعقل;Positive;High;3.0
92;أَعْلَمُ;أَعْلَم;أعلم;Positive;High;3.0
93;أَعْلَى;أَعْلَى;أعلى;Positive;High;3.0
94;أَعْمَقُ;أَعْمَق;أعمق;Positive;Median;2.0
95;أَعْنَفُ;أَعْنَف;أعنف;Negative;Median;-2.0
96;أَغْرَبُ;أَغْرَب;أغرب;Neutre;Median;0.0
97;أَغْزَرُ;أَغْزَر;أغزر;Positive;High;3.0
98;أَغْلَظُ;أَغْلَظ;أغلظ;Negative;High;-3.0
99;أَغْنَى;أَغْنَى;أغنى;Positive;High;3.0
100;أَفْسَحُ;أَفْسَح;أفسح;Positive;Median;2.0
101;أَفْسَدُ;أَفْسَد;أفسد;Negative;Median;-2.0
